Name,Image,Album,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021
Coloratura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Crawling,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Cry Cry Cry,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,11
Daddy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8
Daylight,,,0,0,0,0,66,140,143,143,148,148,148,148,150,150,150,150,150,150,150,150,150,150
De música ligera,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Death and All His Friends,,,0,0,0,0,0,0,0,0,0,79,161,171,171,171,171,171,171,171,171,171,171,171
Death Will Never Conquer,,,0,0,0,0,0,0,0,0,0,78,155,163,163,163,163,163,163,163,163,163,163,163
Desire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Do They Know It's Christmas?,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Don Quixote,,,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8
Don't Let It Break Your Heart,,,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,65,65
Don't Look Back in Anger,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Don't Panic,,,2,3,103,170,239,322,387,437,440,444,444,444,445,445,445,449,449,475,526,526,526,526
Du hast,,,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dublin Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Dy-na-mi-tee,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Earth Angel (Will You Be Mine),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Èkó,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Everglow,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,76,131,131,131,131
Every Teardrop Is a Waterfall,,,0,0,0,0,0,0,0,0,0,0,0,0,58,132,134,148,150,213,268,268,268,268
Everybody Hurts,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Everyday Life,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10
Everything's Not Lost,,,0,0,87,141,204,286,338,338,338,338,338,338,350,351,351,353,353,353,353,353,354,354
Fairytale of New York,,,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Faith,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Fix You,,,0,0,0,0,0,0,104,155,166,252,336,347,397,466,467,483,490,560,619,621,627,637
Fly On,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,7,7,7,7
Formation,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Formidable,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Four Seasons in One Day,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2
Frankfurt Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Free Fallin',,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
