Name,Image,Album,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,2015
Black Queen,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Black-Throated Wind,,,0,0,0,0,0,0,0,74,89,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,111,123,130,139,150,158,158
Blackbird,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
Blow Away,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,23,23,23,23,23,23,23
Blue Moon,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Blues for Allah,,,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Born Cross-Eyed,,,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15
Born on the Bayou,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Bound in Memories,,,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Box of Rain,,,0,0,0,0,0,1,1,18,46,46,46,46,46,46,46,46,46,46,46,46,46,60,75,93,103,112,123,131,139,151,163,165
Bring Me My Shotgun,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brokedown Palace,,,0,0,0,0,0,14,28,45,53,57,57,57,62,62,65,84,94,103,113,124,138,146,156,166,175,182,189,195,203,214,220,222
Broken Arrow,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,37,37
Brown-Eyed Women,,,0,0,0,0,0,0,16,55,91,108,108,130,157,180,201,214,226,235,251,262,274,279,285,289,295,303,312,320,331,339,344,346
Built to Last,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,18,18,18,18,18,18,20
"Bye, Bye, Love",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
California Earthquake (A Whole Lotta Shakin' Goin' On),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
Can't Come Down,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Candyman,,,0,0,0,0,0,40,42,49,53,54,54,65,75,102,119,137,157,169,178,188,192,199,211,223,231,242,254,259,264,269,273,273
Cardboard Cowboy,,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Casey Jones,,,0,0,0,0,26,88,160,225,260,270,270,270,274,278,285,292,298,300,300,302,302,302,302,302,302,302,302,305,306,306,306,308
Cassidy,,,0,0,0,0,0,0,0,0,0,1,1,32,54,78,96,122,149,165,183,198,213,222,243,261,274,291,304,312,321,332,338,340
Cathy's Clown,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caution (Do Not Stop on Tracks),,,1,4,12,31,47,53,54,60,60,62,62,62,62,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Checkin' Up on My Baby,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Childhood's End,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,13
China Cat Sunflower,,,0,0,0,11,44,106,139,204,256,277,277,277,278,278,297,326,350,369,390,407,424,433,451,470,485,501,517,527,541,552,563,565
China Doll,,,0,0,0,0,0,0,0,0,17,28,28,28,31,31,32,44,48,48,56,69,78,82,89,90,94,98,104,109,113,114,114,114
